"HostName","RecordType","Data"
"@","A","192.168.79.21"
"@","NS",
"@","SOA",
"_msdcs","NS",
"_gc._tcp.Default-First-Site-Name._sites","SRV",
"_kerberos._tcp.Default-First-Site-Name._sites","SRV",
"_ldap._tcp.Default-First-Site-Name._sites","SRV",
"_gc._tcp","SRV",
"_kerberos._tcp","SRV",
"_kpasswd._tcp","SRV",
"_ldap._tcp","SRV",
"_kerberos._udp","SRV",
"_kpasswd._udp","SRV",
"DomainDnsZones","A","192.168.79.21"
"_ldap._tcp.Default-First-Site-Name._sites.DomainDnsZones","SRV",
"_ldap._tcp.DomainDnsZones","SRV",
"ForestDnsZones","A","192.168.79.21"
"_ldap._tcp.Default-First-Site-Name._sites.ForestDnsZones","SRV",
"_ldap._tcp.ForestDnsZones","SRV",
"HC-WIN10PRO02","A","192.168.79.15"
"HC-WIN10PRO03","A","192.168.79.23"
"HC-WINGATEWAY01","A","192.168.79.22"
"HC-WINSRVTEST01","A","192.168.79.24"
"hc02","A","192.168.79.21"
"hc02","A","172.31.112.1"
"win-eghcfogbbbb","A","192.168.79.21"
"www","CNAME",
