"Name","GroupCategory","GroupScope"
"Administrators","Security","DomainLocal"
"Users","Security","DomainLocal"
"Guests","Security","DomainLocal"
"Print Operators","Security","DomainLocal"
"Backup Operators","Security","DomainLocal"
"Replicator","Security","DomainLocal"
"Remote Desktop Users","Security","DomainLocal"
"Network Configuration Operators","Security","DomainLocal"
"Performance Monitor Users","Security","DomainLocal"
"Performance Log Users","Security","DomainLocal"
"Distributed COM Users","Security","DomainLocal"
"IIS_IUSRS","Security","DomainLocal"
"Cryptographic Operators","Security","DomainLocal"
"Event Log Readers","Security","DomainLocal"
"Certificate Service DCOM Access","Security","DomainLocal"
"RDS Remote Access Servers","Security","DomainLocal"
"RDS Endpoint Servers","Security","DomainLocal"
"RDS Management Servers","Security","DomainLocal"
"Hyper-V Administrators","Security","DomainLocal"
"Access Control Assistance Operators","Security","DomainLocal"
"Remote Management Users","Security","DomainLocal"
"Storage Replica Administrators","Security","DomainLocal"
"Domain Computers","Security","Global"
"Domain Controllers","Security","Global"
"Schema Admins","Security","Universal"
"Enterprise Admins","Security","Universal"
"Cert Publishers","Security","DomainLocal"
"Domain Admins","Security","Global"
"Domain Users","Security","Global"
"Domain Guests","Security","Global"
"Group Policy Creator Owners","Security","Global"
"RAS and IAS Servers","Security","DomainLocal"
"Server Operators","Security","DomainLocal"
"Account Operators","Security","DomainLocal"
"Pre-Windows 2000 Compatible Access","Security","DomainLocal"
"Incoming Forest Trust Builders","Security","DomainLocal"
"Windows Authorization Access Group","Security","DomainLocal"
"Terminal Server License Servers","Security","DomainLocal"
"Allowed RODC Password Replication Group","Security","DomainLocal"
"Denied RODC Password Replication Group","Security","DomainLocal"
"Read-only Domain Controllers","Security","Global"
"Enterprise Read-only Domain Controllers","Security","Universal"
"Cloneable Domain Controllers","Security","Global"
"Protected Users","Security","Global"
"Key Admins","Security","Global"
"Enterprise Key Admins","Security","Universal"
"DnsAdmins","Security","DomainLocal"
"DnsUpdateProxy","Security","Global"
"DHCP Users","Security","DomainLocal"
"DHCP Administrators","Security","DomainLocal"
"Access-Denied Assistance Users","Security","DomainLocal"
"G-NoPowershell","Security","Global"
"Windows Admin Center CredSSP","Security","DomainLocal"
